Match type,Repository,Repository external URL
repo,github.com/ollama/ollama,https://sourcegraph.com/github.com/ollama/ollama
repo,github.com/syncthing/syncthing,https://sourcegraph.com/github.com/syncthing/syncthing
repo,github.com/traefik/traefik,https://sourcegraph.com/github.com/traefik/traefik
repo,github.com/animatedempl/toolbelt,https://sourcegraph.com/github.com/animatedempl/toolbelt
repo,github.com/makiuchi-d/linq,https://sourcegraph.com/github.com/makiuchi-d/linq
repo,github.com/golang/go,https://sourcegraph.com/github.com/golang/go
repo,github.com/percona/everest,https://sourcegraph.com/github.com/percona/everest
repo,github.com/atomix/atomix,https://sourcegraph.com/github.com/atomix/atomix
repo,github.com/crumbyte/noxdir,https://sourcegraph.com/github.com/crumbyte/noxdir
repo,github.com/jesseduffield/lazygit,https://sourcegraph.com/github.com/jesseduffield/lazygit
repo,github.com/yoyofx/yoyogo,https://sourcegraph.com/github.com/yoyofx/yoyogo
repo,github.com/apache/spark-connect-go,https://sourcegraph.com/github.com/apache/spark-connect-go
repo,github.com/alessiosavi/GoGPUtils,https://sourcegraph.com/github.com/alessiosavi/GoGPUtils
repo,github.com/ginkgoch/godash,https://sourcegraph.com/github.com/ginkgoch/godash
repo,github.com/kubernetes/kubernetes,https://sourcegraph.com/github.com/kubernetes/kubernetes
repo,github.com/moby/moby,https://sourcegraph.com/github.com/moby/moby
repo,github.com/kubernetes/mount-utils,https://sourcegraph.com/github.com/kubernetes/mount-utils
repo,github.com/prometheus/prometheus,https://sourcegraph.com/github.com/prometheus/prometheus
repo,github.com/bytecodealliance/go-modules,https://sourcegraph.com/github.com/bytecodealliance/go-modules
repo,github.com/minio/minio,https://sourcegraph.com/github.com/minio/minio
repo,github.com/deckhouse/virtualization,https://sourcegraph.com/github.com/deckhouse/virtualization
repo,github.com/grafana/grafana,https://sourcegraph.com/github.com/grafana/grafana
repo,github.com/mactsouk/mastering-Go-3rd,https://sourcegraph.com/github.com/mactsouk/mastering-Go-3rd
repo,github.com/RedHatOfficial/GoCourse,https://sourcegraph.com/github.com/RedHatOfficial/GoCourse
repo,github.com/east-eden/server,https://sourcegraph.com/github.com/east-eden/server
repo,github.com/devnw/stream,https://sourcegraph.com/github.com/devnw/stream
repo,github.com/teleclimber/Dropserver,https://sourcegraph.com/github.com/teleclimber/Dropserver
repo,github.com/datolabs-io/go-backstage,https://sourcegraph.com/github.com/datolabs-io/go-backstage
repo,github.com/ssoready/ssoready,https://sourcegraph.com/github.com/ssoready/ssoready
repo,github.com/maxpoletaev/gorender,https://sourcegraph.com/github.com/maxpoletaev/gorender
repo,github.com/ClickHouse/ch-go,https://sourcegraph.com/github.com/ClickHouse/ch-go
repo,github.com/itsManjeet/rlxos,https://sourcegraph.com/github.com/itsManjeet/rlxos
repo,github.com/Forceu/Gokapi,https://sourcegraph.com/github.com/Forceu/Gokapi
repo,github.com/ethereum-optimism/op-geth,https://sourcegraph.com/github.com/ethereum-optimism/op-geth
repo,github.com/JetSetIlly/Gopher2600,https://sourcegraph.com/github.com/JetSetIlly/Gopher2600
repo,github.com/octelium/octelium,https://sourcegraph.com/github.com/octelium/octelium
repo,github.com/firedancer-io/radiance,https://sourcegraph.com/github.com/firedancer-io/radiance
repo,github.com/teamhanko/hanko,https://sourcegraph.com/github.com/teamhanko/hanko
repo,github.com/lainio/err2,https://sourcegraph.com/github.com/lainio/err2
repo,github.com/Koeng101/dnadesign,https://sourcegraph.com/github.com/Koeng101/dnadesign
repo,github.com/eudore/eudore,https://sourcegraph.com/github.com/eudore/eudore
repo,github.com/adamluzsi/frameless,https://sourcegraph.com/github.com/adamluzsi/frameless
repo,github.com/go-spring/spring-core,https://sourcegraph.com/github.com/go-spring/spring-core
repo,github.com/unixpickle/model3d,https://sourcegraph.com/github.com/unixpickle/model3d
repo,github.com/joshuar/go-hass-agent,https://sourcegraph.com/github.com/joshuar/go-hass-agent
repo,github.com/deep-project/moss,https://sourcegraph.com/github.com/deep-project/moss
repo,github.com/ethereum/go-ethereum,https://sourcegraph.com/github.com/ethereum/go-ethereum
repo,github.com/omni-network/omni,https://sourcegraph.com/github.com/omni-network/omni
repo,github.com/esimov/gogu,https://sourcegraph.com/github.com/esimov/gogu
repo,github.com/liqotech/liqo,https://sourcegraph.com/github.com/liqotech/liqo
repo,github.com/AmarnathCJD/gogram,https://sourcegraph.com/github.com/AmarnathCJD/gogram
repo,github.com/cadence-workflow/cadence,https://sourcegraph.com/github.com/cadence-workflow/cadence
repo,github.com/Trendyol/es-query-builder,https://sourcegraph.com/github.com/Trendyol/es-query-builder
repo,github.com/jeffotoni/goexample,https://sourcegraph.com/github.com/jeffotoni/goexample
repo,github.com/lxzan/memorycache,https://sourcegraph.com/github.com/lxzan/memorycache
repo,github.com/cli/cli,https://sourcegraph.com/github.com/cli/cli
repo,github.com/drpaneas/pigo8,https://sourcegraph.com/github.com/drpaneas/pigo8
repo,github.com/ttpreport/ligolo-mp,https://sourcegraph.com/github.com/ttpreport/ligolo-mp
repo,github.com/shoddybutter/utils,https://sourcegraph.com/github.com/shoddybutter/utils
repo,github.com/bufbuild/protocompile,https://sourcegraph.com/github.com/bufbuild/protocompile
repo,github.com/google/buzzer,https://sourcegraph.com/github.com/google/buzzer
repo,github.com/wx-chevalier/Go-Notes,https://sourcegraph.com/github.com/wx-chevalier/Go-Notes
repo,github.com/qingwave/weave,https://sourcegraph.com/github.com/qingwave/weave
repo,github.com/operator-framework/operator-marketplace,https://sourcegraph.com/github.com/operator-framework/operator-marketplace
repo,github.com/simplesurance/baur,https://sourcegraph.com/github.com/simplesurance/baur
repo,github.com/aarzilli/nucular,https://sourcegraph.com/github.com/aarzilli/nucular
repo,github.com/nickjfree/goose,https://sourcegraph.com/github.com/nickjfree/goose
repo,github.com/plgd-dev/hub,https://sourcegraph.com/github.com/plgd-dev/hub
repo,github.com/elves/elvish,https://sourcegraph.com/github.com/elves/elvish
repo,github.com/ipinfo/cli,https://sourcegraph.com/github.com/ipinfo/cli
repo,github.com/AdvancedClimateSystems/gonnx,https://sourcegraph.com/github.com/AdvancedClimateSystems/gonnx
repo,github.com/openshift/cluster-monitoring-operator,https://sourcegraph.com/github.com/openshift/cluster-monitoring-operator
repo,github.com/nezhahq/agent,https://sourcegraph.com/github.com/nezhahq/agent
repo,github.com/ahenzinger/tiptoe,https://sourcegraph.com/github.com/ahenzinger/tiptoe
repo,github.com/dablelv/cyan,https://sourcegraph.com/github.com/dablelv/cyan
repo,github.com/Equationzhao/g,https://sourcegraph.com/github.com/Equationzhao/g
repo,github.com/grafana/cortex-tools,https://sourcegraph.com/github.com/grafana/cortex-tools
repo,github.com/k8snetworkplumbingwg/whereabouts,https://sourcegraph.com/github.com/k8snetworkplumbingwg/whereabouts
repo,github.com/xtaci/safebox,https://sourcegraph.com/github.com/xtaci/safebox
repo,github.com/celenium-io/celestia-indexer,https://sourcegraph.com/github.com/celenium-io/celestia-indexer
repo,github.com/sandia-minimega/minimega,https://sourcegraph.com/github.com/sandia-minimega/minimega
repo,github.com/guregu/null,https://sourcegraph.com/github.com/guregu/null
repo,github.com/pingcap/tidb,https://sourcegraph.com/github.com/pingcap/tidb
repo,github.com/mudler/LocalAI,https://sourcegraph.com/github.com/mudler/LocalAI
repo,github.com/modiimedia/arri,https://sourcegraph.com/github.com/modiimedia/arri
repo,github.com/aviate-labs/agent-go,https://sourcegraph.com/github.com/aviate-labs/agent-go
repo,github.com/christian-gama/autocommit,https://sourcegraph.com/github.com/christian-gama/autocommit
repo,github.com/jesseduffield/lazydocker,https://sourcegraph.com/github.com/jesseduffield/lazydocker
repo,github.com/deatil/go-cryptobin,https://sourcegraph.com/github.com/deatil/go-cryptobin
repo,github.com/mattermost/rtcd,https://sourcegraph.com/github.com/mattermost/rtcd
repo,github.com/GoesToEleven/learn-to-code-go-version-03,https://sourcegraph.com/github.com/GoesToEleven/learn-to-code-go-version-03
repo,github.com/mushahiroyuki/lgo,https://sourcegraph.com/github.com/mushahiroyuki/lgo
repo,github.com/ErikKalkoken/evebuddy,https://sourcegraph.com/github.com/ErikKalkoken/evebuddy
repo,github.com/alaingilbert/agl,https://sourcegraph.com/github.com/alaingilbert/agl
repo,github.com/openshift/cluster-authentication-operator,https://sourcegraph.com/github.com/openshift/cluster-authentication-operator
repo,github.com/clyso/chorus,https://sourcegraph.com/github.com/clyso/chorus
repo,github.com/gofiber/fiber,https://sourcegraph.com/github.com/gofiber/fiber
repo,github.com/wstool/wst,https://sourcegraph.com/github.com/wstool/wst
repo,github.com/splunk-terraform/terraform-provider-signalfx,https://sourcegraph.com/github.com/splunk-terraform/terraform-provider-signalfx
repo,github.com/milvus-io/milvus,https://sourcegraph.com/github.com/milvus-io/milvus
