repository,fetch_files_ms,parse_ast_ms,topo_sort_ms,type_check_ms,collect_symbols_ms,check_runner_ms,total_analysis_ms,total_ms
ollama/ollama,3209,116,0,192,11,40,361,3571
joesonw/go-diff,640,0,0,0,0,0,0,640
computer-geek64/emboxd,631,0,0,0,0,0,1,633
anthdm/hbbft,725,4,0,5,0,0,11,736
cyberark/sidecar-injector,1015,1,0,1,0,0,2,1017
dag-andersen/argocd-diff-preview,3446,17,0,19,1,3,41,3487
IBM-Blockchain-Archive/marbles,971,0,0,0,0,0,1,972
SkewwG/henggeFish,906,0,0,0,0,0,0,906
remore/dockerfileview,577,0,0,0,0,0,0,578
didi/sharingan,1691,74,0,99,6,21,201,1893
UHN/ggql,776,12,0,10,0,2,26,802
asteris-llc/gofpher,859,1,0,1,0,0,3,862
wader/ansisvg,1184,1,0,2,0,0,4,1188
avelino/awesome-go,688,1,0,1,0,0,2,690
junegunn/fzf,667,25,0,35,1,6,69,736
zituocn/22v,2039,2,0,4,0,0,8,2047
mikioh/tcpinfo,580,2,0,2,0,0,5,585
gui-cs/NStack,816,1,0,3,0,0,5,822
driusan/mandown,613,0,0,0,0,0,1,615
buckhx/tiles,599,0,0,1,0,0,2,601
kubernetes/kubernetes,8729,1324,7,1951,132,478,3895,12625
usiusi360/vulsrepo,1289,0,0,0,0,0,0,1289
0990/avatar-fight-server,668,3,0,5,0,0,10,679
maxhawkins/go-webrtcvad,1036,0,0,0,0,0,0,1037
glycerine/zebrapack,1797,21,0,26,1,4,53,1851
dtylman/gowd,1709,1,0,2,0,0,5,1714
anacrolix/dht,594,7,0,9,0,1,20,614
TritonHo/meow,588,2,0,2,0,0,5,593
dingoblog/dingo,1453,2,0,3,0,0,7,1460
nguyenphuminh/HelloWorld,779,0,0,0,0,0,0,779
Kif11/anticap,557,1,0,2,0,0,4,562
Merovius/notary,593,1,0,1,0,0,3,597
aceld/Lars,2974,0,0,1,0,0,2,2976
kakao/network-node-manager,941,2,0,4,0,0,7,949
pixelartexchange/artbase.server,815,1,0,1,0,0,3,818
wadey/gocovmerge,688,0,0,0,0,0,1,689
rsc/grepdiff,629,0,0,0,0,0,0,630
johngb/langreg,588,1,0,2,0,0,4,592
gohugoio/hugo,2312,77,1,111,7,28,225,2538
SignTools/SignTools,837,3,0,4,0,0,8,845
raguay/ModalFileManager,2650,0,0,0,0,0,1,2651
aws-samples/container-patterns,2135,0,0,0,0,0,0,2135
nasuiyile/Snow,654,7,0,10,0,1,20,675
caddyserver/caddy,1019,43,0,55,3,12,114,1133
zacg/simplelib,647,0,0,0,0,0,0,647
songquanpeng/go-public,966,1,0,1,0,0,2,969
louislam/uptime-kuma,1021,0,0,0,0,0,0,1021
djherbis/socket,702,0,0,0,0,0,2,704
jesseduffield/lazygit,1525,53,0,115,4,22,196,1721
syncthing/syncthing,1437,57,0,83,5,18,164,1602
SAP/sap-btp-service-operator,1451,16,0,18,1,3,40,1491
microsoft/vscode,6787,0,0,0,0,0,0,6787
surma/s3put,698,1,0,1,0,0,2,700
abh/geoip,635,1,0,1,0,0,3,638
gonet2/snowflake,963,0,0,1,0,0,2,965
xogeny/denada-go,736,3,0,5,0,0,9,746
neurocollective/go_chainable,815,0,0,1,0,0,3,818
y-ohgi/introduction-docker,794,0,0,0,0,0,0,794
eyebluecn/tank,1919,20,0,26,1,4,53,1973
Comcast/go-leaderelection,686,4,0,3,0,0,8,695
niuhuan/pica-go,615,0,0,0,0,0,1,617
musana/fuzzuli,654,0,0,0,0,0,1,656
ibanyu/owl,737,5,0,7,0,1,15,752
antlabs/quickws,788,12,0,9,0,1,25,813
bitcoinaverage/api-integration-examples,818,0,0,0,0,0,0,818
krahets/hello-algo,7560,19,0,23,1,4,48,7608
rosmo/go-hidproxy,718,1,0,1,0,0,3,722
netdata/netdata,3807,202,0,308,19,68,600,4408
DuckLogic/zerogc,719,0,0,0,0,0,0,720
getporter/operator,805,11,0,12,0,2,26,831
wolfeidau/humanhash,670,0,0,1,0,0,2,672
ivpusic/golog,594,1,0,1,0,0,3,598
USA-RedDragon/DMRHub,1051,26,0,18,1,6,53,1104
GramYang/landlord_go,745,6,0,5,0,1,14,759
tamarin-prover/tamarin-prover,5263,0,0,0,0,0,0,5263
shfz/shfz,899,1,0,1,0,0,3,902
openshift/origin-web-console,1949,0,0,0,0,0,0,1949
yunxu1/dnsub,894,0,0,0,0,0,1,895
antham/yogo,616,4,0,6,0,1,11,628
rustler47/SecureClient,679,0,0,0,0,0,1,680
aws/aws-node-termination-handler,878,11,0,10,0,2,24,903
Mythologyli/zju-connect,662,10,0,14,0,2,27,689
ohler55/ojg,854,42,0,32,2,9,86,941
Twixes/backname,641,1,0,1,0,0,3,644
CloudDetail/apo,1798,39,0,38,2,7,88,1886
traas-stack/kapacity,1120,10,0,11,0,2,25,1146
drand/drand,3983,27,0,33,1,6,70,4053
gbin/goncurses,655,5,0,4,0,1,11,667
vmware/terraform-provider-vra,900,18,0,16,1,4,41,942
Songmu/ecschedule,612,6,0,5,0,1,13,625
ochinchina/supervisord,724,9,0,10,0,2,22,747
martensson/nixy,830,1,0,1,0,0,2,832
LinkedInAttic/jaqen,734,2,0,1,0,0,4,739
bazil/zipfs,722,3,0,1,0,0,4,727
inexio/thola,748,19,0,23,1,4,48,796
mehrdadrad/tcpdog,742,7,0,7,0,1,16,759
huagelong/devinggo,3226,16,0,20,1,4,43,3269
go-cmd/cmd,746,1,0,0,0,0,3,749
lizongying/my-tv-server,6169,0,0,0,0,0,0,6169
